SSC,FLT,ORG,DES,STD,STA,FLO,MON,TUE,WED,THU,FRI,SAT,SUN,FSD,FED,IRR
S19,A1915,ARP1,ARP3,7:55,9:05,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1904,ARP3,ARP1,7:55,9:05,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1304,ARP3,ARP1,8:00,9:15,I,Y,,Y,Y,Y,,Y,20190331,20191026,N
S19,B1802,ARP2,ARP1,8:00,8:55,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1106,ARP1,ARP2,8:00,9:05,J,,Y,Y,,Y,Y,,20190730,20190824,N
S19,J1106,ARP1,ARP2,8:00,9:05,J,,Y,Y,Y,Y,Y,Y,20190331,20190728,N
S19,J1106,ARP1,ARP2,8:00,9:05,J,Y,,,Y,,,,20190902,20191017,N
S19,J1106,ARP1,ARP2,8:00,9:05,J,,Y,Y,,Y,Y,Y,20190827,20191020,N
S19,J1106,ARP1,ARP2,8:00,9:05,J,Y,,,,,,,20190401,20190722,N
S19,J1106,ARP1,ARP2,8:00,9:05,J,Y,,,Y,,,Y,20190729,20190829,N
S19,J1208,ARP1,ARP3,8:00,9:10,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1304,ARP3,ARP1,8:05,9:15,I,,Y,,,,,,20190331,20191026,N
S19,J1209,ARP3,ARP1,8:10,9:20,J,,,,,,Y,Y,20190406,20191026,N
S19,F1207,ARP1,ARP3,8:10,9:20,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1222,ARP1,ARP3,11:20,12:30,J,,,,Y,,Y,,20190808,20191026,N
S19,J1222,ARP1,ARP3,11:20,12:30,J,,Y,,,,,,20190813,20191022,N
S19,J1222,ARP1,ARP3,11:20,12:30,J,,,,,,Y,,20190504,20190803,N
S19,J1222,ARP1,ARP3,11:25,12:35,J,,,,,Y,,,20190802,20191025,N
S19,J1222,ARP1,ARP3,11:25,12:35,J,,,,,Y,,,20190405,20190726,N
S19,B1029,ARP1,ARP3,11:25,12:30,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1811,ARP1,ARP2,11:30,12:25,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1210,ARP3,ARP1,11:35,12:45,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1113,ARP1,ARP3,11:35,12:30,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1221,ARP3,ARP1,11:40,12:50,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1111,ARP2,ARP1,11:40,12:40,J,,,,,,,Y,20190331,20191020,N
S19,H1112,ARP3,ARP1,11:40,12:50,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1111,ARP2,ARP1,11:40,12:40,J,Y,Y,Y,Y,Y,Y,,20190401,20191026,N
S19,I1314,ARP3,ARP1,11:45,13:00,I,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,L1713,ARP1,ARP3,11:45,12:55,L,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1213,ARP1,ARP3,11:50,13:00,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1943,ARP1,ARP3,11:50,13:05,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1224,ARP1,ARP3,11:50,13:00,J,,,Y,,,Y,,20190403,20191026,N
S19,J1224,ARP1,ARP3,11:55,13:05,J,Y,,,,,,,20190429,20191021,N
S19,J1251,ARP3,ARP1,18:05,19:15,J,,,,,,Y,Y,20190525,20190728,N
S19,J1251,ARP3,ARP1,18:05,19:15,J,,Y,Y,Y,Y,,,20190702,20190726,N
S19,J1251,ARP3,ARP1,18:05,19:15,J,,Y,Y,Y,,,Y,20190730,20190804,N
S19,J1251,ARP3,ARP1,18:05,19:15,J,,Y,Y,,Y,Y,,20190802,20191019,N
S19,F1224,ARP3,ARP1,18:05,19:10,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1227,ARP1,ARP3,18:10,19:20,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1015,ARP1,ARP3,18:10,19:20,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,L1731,ARP1,ARP3,18:10,19:20,L,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1255,ARP3,ARP1,18:15,19:25,J,,,Y,,Y,,Y,20190904,20191025,N
S19,J1255,ARP3,ARP1,18:15,19:25,J,Y,Y,,Y,,Y,,20190902,20191026,N
S19,J1255,ARP3,ARP1,18:15,19:25,J,,Y,Y,,Y,,Y,20190521,20190901,N
S19,H1127,ARP1,ARP3,18:15,19:25,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1255,ARP3,ARP1,18:15,19:25,J,Y,,,Y,,Y,,20190520,20190831,N
S19,J1258,ARP1,ARP3,18:20,19:30,J,Y,,,,,,,20190401,20191021,N
S19,F1202,ARP3,ARP1,8:10,9:15,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1306,ARP3,ARP1,8:15,9:30,I,Y,Y,Y,Y,Y,Y,Y,20190610,20191026,N
S19,L1705,ARP1,ARP3,8:15,9:25,L,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1921,ARP1,ARP3,8:20,9:35,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1906,ARP3,ARP1,8:20,9:30,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1635,ARP12,ARP1,8:25,9:25,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1210,ARP1,ARP3,8:30,9:40,J,,,Y,,,,Y,20190403,20190731,N
S19,J1210,ARP1,ARP3,8:30,9:40,J,,,Y,,,,,20190807,20190821,N
S19,J1210,ARP1,ARP3,8:30,9:40,J,,,Y,,,,Y,20190828,20191023,N
S19,J1210,ARP1,ARP3,8:30,9:40,J,,,,,Y,Y,Y,20190802,20190831,N
S19,J1210,ARP1,ARP3,8:30,9:40,J,,,,,Y,Y,,20190405,20190727,N
S19,B1805,ARP1,ARP2,8:30,9:25,B,Y,Y,Y,Y,Y,Y,,20190331,20191026,N
S19,A1925,ARP1,ARP3,8:30,9:40,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1204,ARP3,ARP1,8:30,9:40,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1210,ARP1,ARP3,8:30,9:40,J,,,,,Y,Y,,20190906,20191026,N
S19,J1334,ARP1,ARP9,8:40,9:40,J,,,,Y,,Y,,20190801,20190831,N
S19,J1334,ARP1,ARP9,8:40,9:40,J,,,,,,Y,,20190504,20190727,N
S19,J1334,ARP1,ARP9,8:40,9:40,J,Y,Y,Y,Y,,,,20190429,20190731,N
S19,J1114,ARP1,ARP2,12:00,13:05,J,Y,,,,,Y,,20190401,20190727,N
S19,J1223,ARP3,ARP1,12:00,13:10,J,,Y,Y,Y,,Y,Y,20190331,20190804,N
S19,J1114,ARP1,ARP2,12:00,13:05,J,,Y,Y,,Y,,,20190730,20191023,N
S19,J1114,ARP1,ARP2,12:00,13:05,J,,Y,Y,Y,Y,,,20190402,20190726,N
S19,J1223,ARP3,ARP1,12:00,13:10,J,Y,Y,Y,Y,,Y,Y,20190805,20191026,N
S19,J1114,ARP1,ARP2,12:00,13:05,J,Y,,,Y,,Y,,20190729,20191019,N
S19,H1114,ARP3,ARP1,12:05,13:15,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1607,ARP5,ARP1,12:10,13:10,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1922,ARP3,ARP1,12:10,13:20,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1115,ARP1,ARP3,12:15,13:35,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1226,ARP1,ARP3,12:20,13:30,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1154,ARP3,ARP1,12:20,13:30,H,Y,Y,Y,Y,Y,Y,Y,20190615,20190712,N
S19,H1154,ARP3,ARP1,12:20,13:30,H,Y,Y,Y,Y,Y,Y,Y,20190714,20190920,N
S19,H1154,ARP3,ARP1,12:20,13:30,H,Y,Y,Y,Y,Y,Y,Y,20190922,20190922,N
S19,H1154,ARP3,ARP1,12:20,13:30,H,Y,Y,Y,Y,Y,Y,Y,20190924,20191011,N
S19,A1947,ARP1,ARP3,12:20,13:35,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1228,ARP1,ARP3,12:30,13:40,J,,,,,Y,,Y,20190331,20191025,N
S19,I1316,ARP3,ARP1,12:30,13:45,I,Y,Y,Y,Y,Y,Y,Y,20190610,20191026,N
S19,B1023,ARP1,ARP3,18:20,19:30,B,,Y,,,Y,,,20190331,20191026,N
S19,J1258,ARP1,ARP3,18:20,19:30,J,,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1636,ARP1,ARP12,18:20,19:20,J,,,,,Y,,Y,20190331,20191025,N
S19,A1981,ARP1,ARP3,18:25,19:35,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1226,ARP3,ARP1,18:25,19:35,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1611,ARP5,ARP1,18:25,19:25,J,,,,,,Y,Y,20190331,20191026,N
S19,L1733,ARP1,ARP3,18:25,19:35,L,Y,,Y,,Y,,Y,20190331,20191026,N
S19,J1636,ARP1,ARP12,18:30,19:30,J,Y,Y,Y,Y,,Y,,20190520,20190727,N
S19,J1636,ARP1,ARP12,18:30,19:30,J,Y,Y,Y,,,Y,,20190729,20190803,N
S19,J1636,ARP1,ARP12,18:30,19:30,J,,,,Y,,,,20190801,20190801,N
S19,J1636,ARP1,ARP12,18:30,19:30,J,Y,Y,Y,Y,,Y,,20190805,20191026,N
S19,B1825,ARP1,ARP2,18:30,19:25,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1229,ARP1,ARP3,18:35,19:45,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1105,ARP2,ARP1,8:40,9:40,J,Y,Y,Y,Y,Y,Y,Y,20190805,20191026,N
S19,J1105,ARP2,ARP1,8:40,9:40,J,,,,Y,,,,20190801,20190801,N
S19,J1105,ARP2,ARP1,8:40,9:40,J,Y,Y,Y,Y,Y,Y,Y,20190331,20190728,N
S19,J1334,ARP1,ARP9,8:40,9:40,J,,,,,,Y,,20190907,20191026,N
S19,J1105,ARP2,ARP1,8:40,9:40,J,Y,Y,Y,,Y,Y,Y,20190729,20190804,N
S19,J1334,ARP1,ARP9,8:40,9:40,J,Y,Y,Y,Y,,,,20190902,20191024,N
S19,J1334,ARP1,ARP9,8:40,9:40,J,Y,Y,Y,,,,,20190805,20190828,N
S19,A1912,ARP3,ARP1,8:45,9:55,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1307,ARP1,ARP3,8:45,9:55,I,Y,Y,Y,Y,Y,Y,Y,20190901,20191026,N
S19,J1605,ARP5,ARP1,8:50,9:50,J,Y,Y,Y,Y,Y,Y,Y,20190729,20190901,N
S19,J1605,ARP5,ARP1,8:50,9:50,J,,Y,,,Y,,,20190521,20190730,N
S19,J1534,ARP1,ARP11,8:50,9:45,J,,,,,,,Y,20190804,20191020,N
S19,F1206,ARP3,ARP1,8:50,10:00,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1605,ARP5,ARP1,8:50,9:50,J,Y,,Y,Y,,Y,Y,20190520,20190728,N
S19,B1025,ARP1,ARP3,8:50,10:00,B,,Y,,,Y,,,20190331,20191026,N
S19,J1534,ARP1,ARP11,8:50,9:45,J,,,,,,Y,Y,20190331,20190724,N
S19,J1605,ARP5,ARP1,8:50,9:50,J,,Y,,,,,,20190806,20190827,N
S19,J1605,ARP5,ARP1,8:50,9:50,J,Y,,Y,Y,,Y,Y,20190902,20191026,N
S19,B1813,ARP1,ARP2,12:30,13:25,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1733,ARP1,ARP9,12:35,13:30,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1924,ARP3,ARP1,12:35,13:45,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1892,ARP5,ARP1,12:35,13:35,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1113,ARP2,ARP1,12:40,13:40,J,Y,Y,Y,,Y,Y,Y,20190729,20190804,N
S19,J1113,ARP2,ARP1,12:40,13:40,J,Y,Y,Y,Y,Y,Y,Y,20190331,20190728,N
S19,H1117,ARP1,ARP3,12:40,13:50,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1113,ARP2,ARP1,12:40,13:40,J,,,,Y,,,,20190801,20190801,N
S19,J1113,ARP2,ARP1,12:40,13:40,J,Y,Y,Y,Y,Y,Y,Y,20190805,20191026,N
S19,A1407,ARP1,ARP3,12:45,13:55,A,,,,,,,Y,20190428,20191026,N
S19,F1212,ARP3,ARP1,12:45,13:55,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1230,ARP1,ARP3,12:50,14:00,J,,,,,,,Y,20190407,20191020,N
S19,J1225,ARP3,ARP1,12:50,14:00,J,Y,Y,Y,Y,,,,20190805,20191017,N
S19,L1715,ARP1,ARP3,12:50,14:00,L,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1225,ARP3,ARP1,12:50,14:00,J,Y,Y,Y,Y,,Y,Y,20190520,20190801,N
S19,J1225,ARP3,ARP1,12:50,14:00,J,,,,,Y,,,20190524,20190726,N
S19,J1225,ARP3,ARP1,12:50,14:00,J,,,,,Y,Y,Y,20190802,20191020,N
S19,F1215,ARP1,ARP3,12:55,14:05,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1214,ARP3,ARP1,13:00,14:05,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1116,ARP1,ARP2,13:00,14:05,J,,,,Y,,,,20190523,20190725,N
S19,J1116,ARP1,ARP2,13:00,14:05,J,,,,Y,Y,,Y,20190905,20191025,N
S19,J1116,ARP1,ARP2,13:00,14:05,J,Y,Y,Y,,,Y,,20190902,20191026,N
S19,J1116,ARP1,ARP2,13:00,14:05,J,,,,,Y,,Y,20190809,20190901,N
S19,J1116,ARP1,ARP2,13:00,14:05,J,Y,Y,Y,Y,,Y,,20190805,20190831,N
S19,J1116,ARP1,ARP2,13:00,14:05,J,,,,Y,Y,,Y,20190801,20190804,N
S19,J1116,ARP1,ARP2,13:00,14:05,J,Y,Y,Y,,,Y,,20190729,20190803,N
S19,A1408,ARP3,ARP1,13:00,14:05,A,Y,,,,,,,20190428,20191026,N
S19,J1227,ARP3,ARP1,13:00,14:10,J,,,,,,Y,,20190406,20191026,N
S19,B1812,ARP2,ARP1,13:00,13:55,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1227,ARP3,ARP1,13:00,14:10,J,,,,Y,,,,20190404,20191024,N
S19,J1116,ARP1,ARP2,13:00,14:05,J,Y,Y,Y,,Y,Y,Y,20190520,20190728,N
S19,J1227,ARP3,ARP1,13:05,14:15,J,,,,,Y,,,20190405,20190726,N
S19,I1318,ARP3,ARP1,13:05,14:20,I,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1227,ARP3,ARP1,13:05,14:15,J,,,,,Y,,,20190802,20191025,N
S19,B1028,ARP3,ARP1,13:10,14:20,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1932,ARP3,ARP1,13:10,14:20,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1232,ARP1,ARP3,13:10,14:20,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1217,ARP1,ARP3,13:15,14:25,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1143,ARP1,ARP3,13:15,14:25,H,Y,,Y,Y,Y,,Y,20190525,20191026,N
S19,J1234,ARP1,ARP3,13:20,14:30,J,,Y,Y,,Y,,,20190806,20190830,N
S19,J1234,ARP1,ARP3,13:20,14:30,J,Y,Y,Y,Y,Y,,,20190520,20190726,N
S19,J1234,ARP1,ARP3,13:20,14:30,J,Y,Y,Y,,Y,,,20190729,20190802,N
S19,J1234,ARP1,ARP3,13:20,14:30,J,Y,,,Y,,,,20190801,20190902,N
S19,J1234,ARP1,ARP3,13:20,14:30,J,,Y,Y,Y,Y,,,20190903,20191025,N
S19,L1717,ARP1,ARP3,13:20,14:30,L,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1234,ARP1,ARP3,13:20,14:30,J,Y,,,,,,,20190909,20191021,N
S19,J1229,ARP3,ARP1,13:25,14:35,J,,,,,Y,,,20190809,20191025,N
S19,F1257,ARP1,ARP3,13:25,14:35,F,,,Y,,,,,20190331,20191026,N
S19,J1229,ARP3,ARP1,13:25,14:35,J,,,,,Y,,Y,20190331,20190728,N
S19,J1229,ARP3,ARP1,13:25,14:35,J,,,Y,,,,,20190403,20190724,N
S19,J1229,ARP3,ARP1,13:25,14:35,J,,,Y,,,,Y,20190804,20191023,N
S19,J1229,ARP3,ARP1,13:25,14:35,J,,,Y,,Y,,,20190731,20190802,N
S19,H1116,ARP3,ARP1,13:25,14:35,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,L1719,ARP1,ARP3,13:25,14:35,L,,Y,,,,Y,,20190331,20191026,N
S19,J1234,ARP1,ARP3,13:25,14:35,J,,,,,,Y,,20190406,20191026,N
S19,H1119,ARP1,ARP3,13:30,14:45,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1216,ARP3,ARP1,13:30,14:40,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1319,ARP1,ARP3,13:35,14:50,I,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1312,ARP3,ARP1,13:35,14:45,I,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1115,ARP2,ARP1,13:40,14:40,J,Y,,,,,,Y,20190331,20190728,N
S19,J1115,ARP2,ARP1,13:40,14:40,J,,Y,Y,Y,Y,,,20190402,20190726,N
S19,J1236,ARP1,ARP3,13:40,14:50,J,,,,,Y,,Y,20190331,20191025,N
S19,J1115,ARP2,ARP1,13:40,14:40,J,Y,,,Y,,,Y,20190729,20191020,N
S19,J1115,ARP2,ARP1,13:40,14:40,J,,Y,Y,,Y,,,20190730,20191023,N
S19,I1320,ARP3,ARP1,13:40,14:50,I,,,,Y,,,,20190331,20191026,N
S19,I1320,ARP3,ARP1,13:45,15:00,I,Y,Y,Y,,Y,Y,Y,20190331,20191026,N
S19,J1229,ARP3,ARP1,13:45,14:55,J,Y,Y,,,,,,20190429,20190805,N
S19,J1229,ARP3,ARP1,13:45,14:55,J,,,,,,Y,,20190504,20190803,N
S19,J1229,ARP3,ARP1,13:45,14:55,J,,Y,,,,Y,,20190806,20191026,N
S19,J1229,ARP3,ARP1,13:45,14:55,J,Y,,,,,,,20190812,20191021,N
S19,A1936,ARP3,ARP1,13:50,15:00,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1608,ARP1,ARP5,13:50,14:50,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1238,ARP1,ARP3,13:50,15:00,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1814,ARP2,ARP1,14:00,14:55,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1951,ARP1,ARP3,14:00,15:10,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1118,ARP3,ARP1,14:00,15:10,H,Y,Y,Y,Y,Y,Y,Y,20190716,20191013,N
S19,H1118,ARP3,ARP1,14:00,15:10,H,Y,Y,Y,Y,Y,Y,Y,20190617,20190714,N
S19,J1118,ARP1,ARP2,14:00,15:05,J,Y,Y,Y,Y,Y,Y,,20190401,20191026,N
S19,J1118,ARP1,ARP2,14:00,15:05,J,,,,,,,Y,20190331,20191020,N
S19,J1231,ARP3,ARP1,14:00,15:10,J,,,,,Y,,,20190405,20191025,N
S19,J1231,ARP3,ARP1,14:00,15:10,J,,,Y,,,,,20190403,20191023,N
S19,L1721,ARP1,ARP3,14:05,15:15,L,,Y,,Y,,Y,,20190331,20191026,N
S19,A1734,ARP9,ARP1,14:05,15:00,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1953,ARP1,ARP3,14:05,15:10,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1944,ARP3,ARP1,14:10,15:20,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1893,ARP1,ARP5,14:15,15:15,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1240,ARP1,ARP3,14:20,15:30,J,,,,Y,,,,20190404,20190711,N
S19,A1948,ARP3,ARP1,14:20,15:30,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1240,ARP1,ARP3,14:20,15:30,J,,,,Y,,Y,,20190718,20191026,N
S19,A1957,ARP1,ARP3,14:25,15:30,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1817,ARP1,ARP2,14:30,15:25,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1233,ARP3,ARP1,14:30,15:40,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1219,ARP1,ARP3,14:35,15:45,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,L1723,ARP1,ARP3,14:35,15:45,L,Y,,Y,Y,Y,,Y,20190331,20191026,N
S19,A1409,ARP1,ARP3,14:35,15:40,A,Y,,,,,,,20190428,20191026,N
S19,J1240,ARP1,ARP3,14:35,15:45,J,,,,,,,Y,20190804,20191020,N
S19,J1240,ARP1,ARP3,14:35,15:45,J,,,,,,,Y,20190407,20190728,N
S19,J1117,ARP2,ARP1,14:40,15:40,J,Y,Y,Y,,Y,Y,Y,20190520,20190728,N
S19,I1321,ARP1,ARP3,14:40,15:55,I,Y,Y,Y,Y,Y,Y,Y,20190610,20191026,N
S19,J1117,ARP2,ARP1,14:40,15:40,J,,,,Y,Y,,Y,20190905,20191025,N
S19,J1128,ARP1,ARP2,19:00,20:05,J,,Y,Y,Y,,Y,Y,20190730,20190908,N
S19,J1128,ARP1,ARP2,19:00,20:05,J,,Y,Y,Y,,,Y,20190430,20190728,N
S19,J1128,ARP1,ARP2,19:00,20:05,J,Y,,,,Y,Y,,20190429,20190802,N
S19,H1146,ARP3,ARP1,18:40,19:50,H,Y,Y,Y,Y,Y,Y,Y,20190617,20190714,N
S19,J1611,ARP5,ARP1,18:50,19:50,J,Y,Y,Y,Y,Y,,,20190401,20191025,N
S19,J1260,ARP1,ARP3,18:50,20:00,J,Y,,,,,,,20190610,20191021,N
S19,J1260,ARP1,ARP3,18:50,20:00,J,,Y,Y,Y,Y,Y,Y,20190604,20191026,N
S19,L1735,ARP1,ARP3,18:50,20:00,L,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1337,ARP9,ARP1,18:50,19:50,J,Y,Y,Y,,,,,20190401,20191023,N
S19,A1985,ARP1,ARP3,18:55,20:05,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1128,ARP1,ARP2,19:00,20:05,J,Y,,,,Y,,,20190805,20190906,N
S19,B1824,ARP2,ARP1,19:00,19:55,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1980,ARP3,ARP1,19:00,20:10,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1128,ARP1,ARP2,19:00,20:05,J,Y,,,,Y,,,20190923,20191025,N
S19,J1128,ARP1,ARP2,19:00,20:05,J,,Y,Y,Y,,Y,Y,20190917,20191026,N
S19,J1128,ARP1,ARP2,19:00,20:05,J,,Y,Y,Y,,,Y,20190910,20190915,N
S19,J1128,ARP1,ARP2,19:00,20:05,J,Y,,,,Y,Y,,20190909,20190920,N
S19,J1117,ARP2,ARP1,14:40,15:40,J,Y,Y,Y,,,Y,,20190902,20191026,N
S19,J1117,ARP2,ARP1,14:40,15:40,J,,,,,Y,,Y,20190809,20190901,N
S19,J1117,ARP2,ARP1,14:40,15:40,J,Y,Y,Y,Y,,Y,,20190805,20190831,N
S19,H1121,ARP1,ARP3,14:40,15:50,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
