SSC,FLT,ORG,DES,STD,STA,FLO,MON,TUE,WED,THU,FRI,SAT,SUN,FSD,FED,IRR
S19,J1117,ARP2,ARP1,14:40,15:40,J,,,,Y,Y,,Y,20190801,20190804,N
S19,J1117,ARP2,ARP1,14:40,15:40,J,,,,Y,,,,20190523,20190725,N
S19,J1117,ARP2,ARP1,14:40,15:40,J,Y,Y,Y,,,Y,,20190729,20190803,N
S19,J1242,ARP1,ARP3,14:45,15:55,J,,,,,,,Y,20190331,20191020,N
S19,F1218,ARP3,ARP1,14:45,15:55,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1323,ARP1,ARP3,14:55,16:10,I,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1021,ARP1,ARP3,14:55,16:00,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1961,ARP1,ARP3,14:55,16:05,A,,Y,Y,,Y,Y,Y,20190331,20191026,N
S19,F1220,ARP3,ARP1,14:55,16:10,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1120,ARP1,ARP2,15:00,16:05,J,Y,Y,Y,Y,Y,Y,Y,20190331,20190728,N
S19,J1120,ARP1,ARP2,15:00,16:05,J,Y,Y,Y,Y,Y,Y,Y,20190805,20191026,N
S19,J1120,ARP1,ARP2,15:00,16:05,J,,,,Y,,,,20190801,20190801,N
S19,B1816,ARP2,ARP1,15:00,15:55,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1120,ARP1,ARP2,15:00,16:05,J,Y,Y,Y,,Y,Y,Y,20190729,20190804,N
S19,H1144,ARP3,ARP1,15:00,16:10,H,Y,,Y,Y,Y,,Y,20190716,20190922,N
S19,H1144,ARP3,ARP1,15:00,16:10,H,Y,,Y,Y,Y,,Y,20190617,20190714,N
S19,J1242,ARP1,ARP3,15:00,16:10,J,,Y,Y,,,,,20190402,20190724,N
S19,J1242,ARP1,ARP3,15:00,16:10,J,,,,,,Y,,20190406,20190727,N
S19,J1242,ARP1,ARP3,15:00,16:10,J,Y,Y,Y,,,Y,,20190730,20191026,N
S19,H1146,ARP3,ARP1,18:40,19:50,H,Y,Y,Y,Y,Y,Y,Y,20190716,20190922,N
S19,J1125,ARP2,ARP1,18:40,19:40,J,,,,,Y,,Y,20190809,20190901,N
S19,J1125,ARP2,ARP1,18:40,19:40,J,,,,Y,Y,,Y,20190905,20191025,N
S19,J1125,ARP2,ARP1,18:40,19:40,J,Y,Y,Y,,Y,Y,Y,20190520,20190728,N
S19,J1125,ARP2,ARP1,18:40,19:40,J,,,,Y,,,,20190523,20190725,N
S19,J1125,ARP2,ARP1,18:40,19:40,J,Y,Y,Y,,,Y,,20190729,20190803,N
S19,J1125,ARP2,ARP1,18:40,19:40,J,,,,Y,Y,,Y,20190801,20190804,N
S19,J1125,ARP2,ARP1,18:40,19:40,J,Y,Y,Y,Y,,Y,,20190805,20190831,N
S19,J1125,ARP2,ARP1,18:40,19:40,J,Y,Y,Y,,,Y,,20190902,20191026,N
S19,H1146,ARP3,ARP1,18:40,19:50,H,Y,Y,Y,Y,Y,Y,Y,20190924,20191013,N
S19,J1539,ARP11,ARP1,18:45,19:40,J,,,,,Y,,,20190503,20191025,N
S19,I1333,ARP1,ARP3,18:45,20:00,I,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1539,ARP11,ARP1,18:45,19:40,J,,,,,,,Y,20190505,20191020,N
S19,A1983,ARP1,ARP3,18:45,19:55,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1337,ARP9,ARP1,18:50,19:50,J,,,,Y,,Y,,20190404,20191026,N
S19,H1144,ARP3,ARP1,15:00,16:10,H,Y,,Y,Y,Y,,Y,20190924,20191013,N
S19,A1963,ARP1,ARP3,15:05,16:15,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1235,ARP3,ARP1,15:10,16:20,J,,,,Y,,Y,,20190523,20191026,N
S19,J1235,ARP3,ARP1,15:10,16:20,J,Y,Y,Y,,Y,,,20190520,20191025,N
S19,I1326,ARP3,ARP1,15:10,16:20,I,,,Y,,,,,20190331,20191026,N
S19,A1961,ARP1,ARP3,15:15,16:30,A,Y,,,Y,,,,20190331,20191026,N
S19,L1725,ARP1,ARP3,15:15,16:25,L,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1244,ARP1,ARP3,15:20,16:30,J,Y,,,,,,,20190805,20190805,N
S19,J1244,ARP1,ARP3,15:20,16:30,J,,Y,,,Y,Y,,20190730,20190803,N
S19,J1244,ARP1,ARP3,15:20,16:30,J,,Y,,,,Y,,20190521,20190727,N
S19,J1244,ARP1,ARP3,15:20,16:30,J,Y,,Y,,Y,,,20190520,20190731,N
S19,J1237,ARP3,ARP1,15:20,16:30,J,,Y,,Y,,Y,,20190402,20191026,N
S19,I1317,ARP1,ARP3,15:20,16:30,I,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1244,ARP1,ARP3,15:20,16:30,J,Y,,,,,,,20190812,20191014,N
S19,J1244,ARP1,ARP3,15:20,16:30,J,,Y,Y,,Y,Y,,20190806,20191019,N
S19,J1336,ARP1,ARP9,15:25,16:25,J,,,,,Y,,Y,20190331,20191025,N
S19,H1155,ARP1,ARP3,15:25,16:40,H,Y,Y,Y,Y,Y,Y,Y,20190714,20190920,N
S19,J1108,ARP1,ARP2,9:00,10:05,J,,,,Y,Y,,,20190801,20190802,N
S19,J1108,ARP1,ARP2,9:00,10:05,J,Y,Y,Y,Y,,Y,,20190805,20190831,N
S19,J1534,ARP1,ARP11,8:50,9:45,J,,,,,,Y,,20190810,20191026,N
S19,J1605,ARP5,ARP1,8:50,9:50,J,,Y,,,Y,,,20190903,20191025,N
S19,J1108,ARP1,ARP2,9:00,10:05,J,Y,Y,Y,,Y,Y,,20190520,20190727,N
S19,J1108,ARP1,ARP2,9:00,10:05,J,,,,Y,,,,20190523,20190725,N
S19,J1108,ARP1,ARP2,9:00,10:05,J,Y,Y,Y,,,Y,,20190729,20190803,N
S19,H1155,ARP1,ARP3,15:25,16:40,H,Y,Y,Y,Y,Y,Y,Y,20190922,20190922,N
S19,H1155,ARP1,ARP3,15:25,16:40,H,Y,Y,Y,Y,Y,Y,Y,20190924,20191011,N
S19,H1155,ARP1,ARP3,15:25,16:40,H,Y,Y,Y,Y,Y,Y,Y,20190615,20190712,N
S19,I1325,ARP1,ARP3,15:25,16:35,I,,,,Y,,,,20190331,20191026,N
S19,J1609,ARP5,ARP1,15:30,16:30,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1326,ARP3,ARP1,15:30,16:40,I,Y,Y,,Y,Y,Y,Y,20190331,20191026,N
S19,B1819,ARP1,ARP2,15:30,16:25,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1325,ARP1,ARP3,15:35,16:50,I,Y,Y,Y,,Y,Y,Y,20190331,20191026,N
S19,F1252,ARP3,ARP1,15:35,16:45,F,Y,,Y,,Y,,,20190331,20191026,N
S19,J1119,ARP2,ARP1,15:40,16:40,J,,,,,,,Y,20190331,20191020,N
S19,F1221,ARP1,ARP3,15:40,16:50,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1239,ARP3,ARP1,15:40,16:50,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1119,ARP2,ARP1,15:40,16:40,J,Y,Y,Y,Y,Y,Y,,20190401,20191026,N
S19,H1123,ARP1,ARP3,15:45,16:55,H,Y,Y,Y,Y,Y,Y,Y,20190716,20191013,N
S19,H1123,ARP1,ARP3,15:45,16:55,H,Y,Y,Y,Y,Y,Y,Y,20190617,20190714,N
S19,A1967,ARP1,ARP3,15:45,16:55,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1538,ARP1,ARP11,15:50,16:45,J,Y,Y,Y,Y,,Y,,20190429,20191026,N
S19,A1950,ARP3,ARP1,15:50,17:00,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1807,ARP1,ARP2,9:30,10:25,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1535,ARP11,ARP1,9:00,9:55,J,Y,Y,Y,Y,Y,,,20190520,20190724,N
S19,J1108,ARP1,ARP2,9:00,10:05,J,,,,,Y,,,20190809,20190830,N
S19,J1108,ARP1,ARP2,9:00,10:05,J,Y,Y,Y,,,Y,,20190902,20191026,N
S19,J1108,ARP1,ARP2,9:00,10:05,J,,,,Y,Y,,,20190905,20191025,N
S19,J1212,ARP1,ARP3,9:00,10:10,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1107,ARP1,ARP3,9:00,10:10,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1804,ARP2,ARP1,9:00,9:55,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1252,ARP3,ARP1,9:05,10:15,F,,Y,,Y,,Y,Y,20190331,20191026,N
S19,J1211,ARP3,ARP1,9:10,10:20,J,Y,Y,Y,Y,Y,Y,Y,20190514,20190728,N
S19,J1211,ARP3,ARP1,9:10,10:20,J,Y,Y,Y,Y,,Y,Y,20190729,20191026,N
S19,J1211,ARP3,ARP1,9:10,10:20,J,,,,,Y,,,20190802,20191025,N
S19,I1308,ARP3,ARP1,9:10,10:20,I,Y,Y,Y,Y,Y,Y,Y,20190331,20190831,N
S19,F1258,ARP3,ARP1,9:10,10:20,F,,,Y,,,,,20190331,20191026,N
S19,J1214,ARP1,ARP3,9:20,10:30,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1914,ARP3,ARP1,9:20,10:30,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1141,ARP1,ARP3,9:25,10:35,H,Y,,Y,Y,Y,,Y,20190525,20191026,N
S19,A1971,ARP1,ARP3,15:55,17:10,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1223,ARP1,ARP3,15:55,17:05,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1956,ARP3,ARP1,15:55,17:05,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1122,ARP1,ARP2,16:00,17:05,J,Y,,,,,,,20190401,20190722,N
S19,J1246,ARP1,ARP3,16:00,17:10,J,,,,Y,Y,,,20190808,20191025,N
S19,J1246,ARP1,ARP3,16:00,17:10,J,,Y,Y,,,Y,Y,20190731,20191026,N
S19,B1818,ARP2,ARP1,16:00,16:55,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1707,ARP1,ARP8,16:00,16:50,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1246,ARP1,ARP3,16:00,17:10,J,,Y,,Y,Y,,,20190730,20190802,N
S19,J1246,ARP1,ARP3,16:00,17:10,J,,,Y,,Y,Y,Y,20190522,20190728,N
S19,J1122,ARP1,ARP2,16:00,17:05,J,,Y,Y,Y,Y,,,20190402,20190726,N
S19,J1246,ARP1,ARP3,16:00,17:10,J,,Y,,Y,,,,20190521,20190725,N
S19,J1243,ARP3,ARP1,16:00,17:10,J,Y,,,,,,,20190401,20191021,N
S19,J1122,ARP1,ARP2,16:00,17:05,J,Y,,,Y,,,,20190729,20191017,N
S19,J1122,ARP1,ARP2,16:00,17:05,J,,Y,Y,,Y,,,20190730,20191023,N
S19,J1241,ARP3,ARP1,16:00,17:10,J,,,,,Y,,Y,20190331,20191025,N
S19,H1125,ARP1,ARP3,16:05,17:15,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1243,ARP3,ARP1,16:10,17:20,J,,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1410,ARP3,ARP1,16:10,17:20,A,Y,,,,,,,20190428,20191026,N
S19,B1010,ARP3,ARP1,16:20,17:30,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1901,ARP1,ARP3,6:05,7:15,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1301,ARP1,ARP3,6:05,7:20,I,Y,Y,Y,Y,Y,Y,Y,20190610,20191026,N
S19,F1201,ARP1,ARP3,6:10,7:20,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1303,ARP1,ARP3,6:10,7:25,I,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1203,ARP1,ARP3,6:15,7:25,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1151,ARP1,ARP3,6:15,7:30,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1204,ARP1,ARP3,6:20,7:30,J,Y,,,,,,,20190401,20191021,N
S19,L1701,ARP1,ARP3,6:20,7:30,L,,,Y,,Y,,,20190419,20191026,N
S19,A1903,ARP1,ARP3,6:25,7:35,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1101,ARP1,ARP3,6:25,7:35,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1900,ARP3,ARP1,6:30,7:40,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1902,ARP3,ARP1,6:40,7:50,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1911,ARP1,ARP3,6:40,7:50,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1281,ARP1,ARP3,6:40,7:50,F,Y,,,,Y,,Y,20190627,20190831,N
S19,J1203,ARP3,ARP1,6:40,7:50,J,,Y,Y,,Y,,,20190903,20191025,N
S19,A1703,ARP1,ARP8,9:35,10:30,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1404,ARP3,ARP1,9:35,10:40,A,Y,,,,,,,20190428,20191026,N
S19,J1107,ARP2,ARP1,9:40,10:40,J,,Y,Y,,Y,Y,Y,20190827,20191020,N
S19,J1107,ARP2,ARP1,9:40,10:40,J,,Y,Y,,Y,Y,,20190730,20190824,N
S19,J1107,ARP2,ARP1,9:40,10:40,J,Y,,,Y,,,Y,20190729,20190829,N
S19,J1107,ARP2,ARP1,9:40,10:40,J,Y,,,,,,,20190401,20190722,N
S19,J1107,ARP2,ARP1,9:40,10:40,J,,Y,Y,Y,Y,Y,Y,20190331,20190728,N
S19,B1026,ARP3,ARP1,9:40,10:45,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1107,ARP2,ARP1,9:40,10:40,J,Y,,,Y,,,,20190902,20191017,N
S19,H1104,ARP3,ARP1,9:45,10:55,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,L1707,ARP1,ARP3,9:45,10:55,L,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,I1309,ARP1,ARP3,9:50,11:05,I,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1735,ARP1,ARP9,16:20,17:15,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1120,ARP3,ARP1,16:25,17:35,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1248,ARP1,ARP3,16:25,17:35,J,,,,,Y,,,20190405,20191025,N
S19,A1962,ARP3,ARP1,16:25,17:35,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1821,ARP1,ARP2,16:30,17:25,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1020,ARP3,ARP1,16:35,17:45,B,,Y,,,Y,,,20190331,20191026,N
S19,F1225,ARP1,ARP3,16:35,17:45,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1121,ARP2,ARP1,16:40,17:40,J,Y,Y,Y,Y,Y,Y,Y,20190331,20190728,N
S19,J1250,ARP1,ARP3,16:40,17:50,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1121,ARP2,ARP1,16:40,17:40,J,Y,Y,Y,Y,Y,Y,Y,20190805,20191026,N
S19,J1121,ARP2,ARP1,16:40,17:40,J,,,,Y,,,,20190801,20190801,N
S19,J1121,ARP2,ARP1,16:40,17:40,J,Y,Y,Y,,Y,Y,Y,20190729,20190804,N
S19,J1245,ARP3,ARP1,16:40,17:50,J,Y,Y,Y,Y,,Y,Y,20190729,20191026,N
S19,J1245,ARP3,ARP1,16:40,17:50,J,Y,Y,Y,Y,,Y,,20190715,20190727,N
S19,J1245,ARP3,ARP1,16:40,17:50,J,,,,,,,Y,20190526,20190728,N
S19,J1245,ARP3,ARP1,16:40,17:50,J,Y,Y,Y,Y,,,,20190520,20190711,N
S19,J1203,ARP3,ARP1,6:40,7:50,J,,,,,,,Y,20190526,20190728,N
S19,J1203,ARP3,ARP1,6:40,7:50,J,,,,,,Y,Y,20190831,20191026,N
S19,J1203,ARP3,ARP1,6:40,7:50,J,,Y,Y,,Y,Y,,20190521,20190727,N
S19,J1203,ARP3,ARP1,6:40,7:50,J,,,,,,Y,,20190803,20190824,N
S19,J1203,ARP3,ARP1,6:40,7:50,J,,Y,Y,,Y,,Y,20190730,20190830,N
S19,J1204,ARP1,ARP3,6:40,7:50,J,,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,L1701,ARP1,ARP3,6:40,7:50,L,Y,Y,,Y,,Y,,20190419,20191026,N
S19,F1205,ARP1,ARP3,6:50,7:55,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1634,ARP1,ARP12,6:50,7:50,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1011,ARP1,ARP3,6:55,8:05,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1103,ARP1,ARP3,7:00,8:10,H,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1104,ARP1,ARP2,7:00,8:05,J,Y,Y,Y,Y,Y,,Y,20190331,20190728,N
S19,J1103,ARP2,ARP1,7:00,8:00,J,Y,Y,,Y,Y,Y,,20190902,20191026,N
S19,J1104,ARP1,ARP2,7:00,8:05,J,Y,Y,Y,Y,Y,,Y,20190805,20191025,N
S19,F1209,ARP1,ARP3,9:50,11:00,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1927,ARP1,ARP3,9:50,11:00,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1916,ARP3,ARP1,9:50,11:00,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,F1208,ARP3,ARP1,9:50,11:00,F,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,B1806,ARP2,ARP1,10:00,10:55,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1110,ARP1,ARP2,10:00,11:05,J,,,,,,,Y,20190331,20191020,N
S19,J1110,ARP1,ARP2,10:00,11:05,J,Y,Y,Y,Y,Y,Y,,20190401,20191026,N
S19,J1216,ARP1,ARP3,10:05,11:15,J,Y,Y,Y,Y,Y,,,20190805,20191025,N
S19,J1216,ARP1,ARP3,10:05,11:15,J,,,,,,Y,Y,20190810,20191026,N
S19,J1216,ARP1,ARP3,10:05,11:15,J,,,,Y,,Y,Y,20190801,20190804,N
S19,J1216,ARP1,ARP3,10:05,11:15,J,,,,Y,,Y,,20190509,20190727,N
S19,J1216,ARP1,ARP3,10:05,11:15,J,Y,Y,Y,,Y,,Y,20190429,20190802,N
S19,J1213,ARP3,ARP1,10:10,11:20,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1106,ARP3,ARP1,10:10,11:20,H,Y,Y,Y,Y,,,,20190809,20191026,N
S19,A1931,ARP1,ARP3,10:15,11:25,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1335,ARP9,ARP1,10:15,11:15,J,Y,Y,Y,Y,,,,20190902,20191024,N
S19,J1335,ARP9,ARP1,10:15,11:15,J,Y,Y,Y,,,,,20190805,20190828,N
S19,J1335,ARP9,ARP1,10:15,11:15,J,,,,Y,,Y,,20190801,20190831,N
S19,J1335,ARP9,ARP1,10:15,11:15,J,,,,,,Y,,20190504,20190724,N
S19,J1610,ARP1,ARP5,16:45,17:45,J,,,,,,Y,Y,20190331,20191026,N
S19,I1328,ARP3,ARP1,16:45,18:00,I,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1964,ARP3,ARP1,16:55,18:05,A,,Y,Y,,Y,Y,Y,20190331,20191026,N
S19,H1145,ARP1,ARP3,16:55,17:55,H,Y,,,,,,,20190801,20190922,N
S19,H1145,ARP1,ARP3,16:55,17:55,H,Y,,,,,,,20190924,20191013,N
S19,I1331,ARP1,ARP3,16:55,18:05,I,,,Y,,,,,20190331,20191026,N
S19,H1145,ARP1,ARP3,16:55,18:05,H,,,Y,Y,Y,,Y,20190625,20191026,N
S19,H1145,ARP1,ARP3,16:55,18:05,H,Y,,,,,,,20190625,20190714,N
S19,H1145,ARP1,ARP3,16:55,18:05,H,Y,,,,,,,20190716,20190731,N
S19,I1330,ARP3,ARP1,17:00,18:10,I,Y,Y,Y,Y,Y,Y,Y,20190610,20191026,N
S19,B1820,ARP2,ARP1,17:00,17:55,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,A1970,ARP3,ARP1,17:00,18:10,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1124,ARP1,ARP2,17:00,18:05,J,,,,Y,Y,,Y,20190905,20191025,N
S19,J1124,ARP1,ARP2,17:00,18:05,J,Y,Y,Y,,,Y,,20190902,20191026,N
S19,J1103,ARP2,ARP1,7:00,8:00,J,Y,Y,,,,Y,,20190729,20190831,N
S19,J1103,ARP2,ARP1,7:00,8:00,J,,,Y,,,,,20190911,20191023,N
S19,J1104,ARP1,ARP2,7:00,8:05,J,Y,Y,Y,,Y,,Y,20190729,20190804,N
S19,B1800,ARP2,ARP1,7:00,7:55,B,Y,Y,Y,Y,Y,Y,,20190331,20191026,N
S19,J1104,ARP1,ARP2,7:00,8:05,J,,,,Y,,,,20190801,20190801,N
S19,L1703,ARP1,ARP3,7:00,8:10,L,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1103,ARP2,ARP1,7:00,8:00,J,,,Y,Y,Y,,,20190731,20190904,N
S19,J1205,ARP3,ARP1,7:00,8:10,J,,,,Y,Y,,Y,20190801,20190804,N
S19,J1205,ARP3,ARP1,7:00,8:10,J,Y,Y,Y,Y,,Y,,20190805,20191026,N
S19,J1103,ARP2,ARP1,7:00,8:00,J,,,Y,,,,,20190522,20190724,N
S19,J1103,ARP2,ARP1,7:00,8:00,J,Y,Y,,Y,Y,Y,,20190520,20190727,N
S19,J1205,ARP3,ARP1,7:00,8:10,J,,,,,Y,,Y,20190809,20191025,N
S19,J1205,ARP3,ARP1,7:00,8:10,J,,,,Y,,,,20190523,20190725,N
S19,J1335,ARP9,ARP1,10:15,11:15,J,,,,,,Y,,20190907,20191026,N
S19,J1335,ARP9,ARP1,10:15,11:15,J,Y,Y,Y,Y,,,,20190429,20190703,N
S19,J1215,ARP3,ARP1,10:20,11:30,J,,,,,,Y,,20190810,20190824,N
S19,J1215,ARP3,ARP1,10:20,11:30,J,,,,,,Y,Y,20190331,20190803,N
S19,A1920,ARP3,ARP1,10:20,11:30,A,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1215,ARP3,ARP1,10:20,11:30,J,,,,,,,Y,20190804,20190825,N
S19,J1215,ARP3,ARP1,10:20,11:30,J,,,,,,Y,Y,20190831,20191026,N
S19,I1311,ARP1,ARP3,10:25,11:35,I,Y,Y,Y,Y,Y,Y,Y,20190610,20191026,N
S19,J1535,ARP11,ARP1,10:25,11:20,J,,,,,,,Y,20190804,20191020,N
S19,J1535,ARP11,ARP1,10:25,11:20,J,,,,,,Y,,20190810,20191026,N
S19,J1535,ARP11,ARP1,10:25,11:20,J,,,,,,Y,Y,20190331,20190724,N
S19,L1709,ARP1,ARP3,10:30,11:40,L,,Y,,Y,,Y,,20190331,20191026,N
S19,B1809,ARP1,ARP2,10:30,11:25,B,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,J1606,ARP1,ARP5,10:30,11:30,J,Y,Y,Y,Y,Y,Y,Y,20190331,20191026,N
S19,H1106,ARP3,ARP1,10:35,11:45,H,,,,,Y,Y,Y,20190331,20191026,N
S19,J1124,ARP1,ARP2,17:00,18:05,J,,,,,Y,,Y,20190809,20190901,N
S19,J1124,ARP1,ARP2,17:00,18:05,J,Y,Y,Y,Y,,Y,,20190805,20190831,N
S19,J1124,ARP1,ARP2,17:00,18:05,J,,,,Y,Y,,Y,20190801,20190804,N
S19,J1124,ARP1,ARP2,17:00,18:05,J,Y,Y,Y,,,Y,,20190729,20190803,N
S19,J1124,ARP1,ARP2,17:00,18:05,J,,,,Y,,,,20190523,20190725,N
S19,J1124,ARP1,ARP2,17:00,18:05,J,Y,Y,Y,,Y,Y,Y,20190520,20190728,N
